date,price
02/12/2022,$32.49
07/16/2021,$82.19
07/04/2021,$32.13
09/13/2021,$21.32
09/01/2021,$97.09
11/05/2021,$88.73
06/05/2021,$37.02
03/12/2022,$13.64
11/08/2021,$84.34
01/23/2022,$72.17
03/12/2022,$75.94
10/06/2021,$37.08
07/03/2021,$80.56
03/10/2022,$99.97
07/14/2021,$41.32
08/13/2021,$54.08
11/19/2021,$39.57
05/19/2021,$27.66
03/07/2022,$14.23
07/04/2021,$59.50
09/03/2021,$73.89
05/16/2021,$62.15
02/14/2022,$59.42
12/12/2021,$74.50
11/04/2021,$24.05
12/04/2021,$55.73
05/27/2021,$20.64
04/02/2022,$79.65
01/12/2022,$74.85
08/05/2021,$54.12
03/30/2022,$84.11
08/23/2021,$10.33
04/29/2021,$81.37
02/11/2022,$59.05
11/18/2021,$17.44
05/20/2021,$11.59
08/12/2021,$98.14
05/12/2021,$16.71
12/19/2021,$60.46
02/22/2022,$67.52
04/15/2022,$82.35
04/18/2022,$66.76
11/28/2021,$12.34
10/12/2021,$61.24
12/30/2021,$38.16
04/03/2022,$54.69
12/17/2021,$53.04
01/23/2022,$28.09
02/22/2022,$99.49
05/12/2021,$98.02
07/12/2021,$89.99
01/05/2022,$26.63
07/31/2021,$12.37
01/19/2022,$68.11
07/07/2021,$36.82
11/05/2021,$40.93
03/09/2022,$34.22
04/19/2022,$20.58
04/09/2022,$25.97
12/04/2021,$49.56
05/21/2021,$96.58
08/15/2021,$96.67
11/13/2021,$99.85
05/02/2021,$43.80
09/17/2021,$82.29
01/29/2022,$55.51
02/16/2022,$27.13
08/31/2021,$95.11
08/09/2021,$69.55
01/18/2022,$86.27
10/16/2021,$67.83
01/24/2022,$65.75
08/05/2021,$66.28
06/01/2021,$70.90
05/31/2021,$54.92
08/16/2021,$42.45
08/13/2021,$81.92
03/05/2022,$80.43
11/14/2021,$69.28
03/17/2022,$39.78
01/31/2022,$94.80
01/09/2022,$65.42
04/11/2022,$94.76
01/14/2022,$82.56
09/19/2021,$92.37
12/11/2021,$33.23
05/22/2021,$93.70
05/23/2021,$76.98
12/14/2021,$43.24
05/28/2021,$23.95
04/04/2022,$77.75
07/06/2021,$45.18
11/15/2021,$12.70
09/14/2021,$93.64
07/06/2021,$11.23
10/22/2021,$82.79
12/31/2021,$30.93
06/11/2021,$85.35
05/22/2021,$20.66
02/02/2022,$43.86
